rep,method,n,s,o,d,type,lower,upper,avg,sd,expected,thetahat
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,2,pct,5.587372750624123,6.559422635970195,6.119756235244065,0.40752769680372847,7.3379502980550635,1.6802805611222444
1,NSBoot,500,0,0,2,sd,5.579478803059907,6.647997713876017,6.113738258467962,0.2725863636384266,7.3379502980550635,1.6802805611222444
1,ASEpar,500,0,0,2,pct,6.538059488820966,8.559358961671432,7.396701075171104,0.8215465323381794,7.3379502980550635,1.6802805611222444
1,ASEpar,500,0,0,2,sd,6.3351892444567515,8.490566867486908,7.41287805597183,0.5498513340121299,7.3379502980550635,1.6802805611222444
1,ASEnonpar,500,0,0,2,pct,5.9177241069728845,7.349027452311024,6.607640706514146,0.5712056011809379,7.3379502980550635,1.6802805611222444
1,ASEnonpar,500,0,0,2,sd,5.876166709831626,7.402126793227609,6.639146751529617,0.3892826846392487,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,0,2,pct,6.752559445600875,8.930086031687427,7.668523651218582,0.6794647351398853,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,0,2,sd,6.618271273142742,8.755355219998004,7.686813246570373,0.5451844941316035,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,0,2,pct,5.363681775428713,6.213139296049928,5.742600032834231,0.4290043415670626,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,0,2,sd,5.2578942012492025,6.289502905967085,5.773698553608144,0.2631703217138376,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,50,2,pct,6.547644328490834,8.419226132702796,7.529374611509534,0.7568275013349774,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,50,2,sd,6.502885324829091,8.56241359755629,7.53264946119269,0.5253995198311031,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,50,2,pct,5.461690884396779,6.559702912368014,6.030284335006797,0.32760226915500645,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,50,2,sd,5.479858904598425,6.544633169039509,6.012246036818967,0.27163107915244566,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,100,2,pct,6.5915359245232805,8.760241632930853,7.521692815057884,0.7282027064027234,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,100,2,sd,6.443422822808974,8.636479361716102,7.539951092262538,0.5594634789735117,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,100,2,pct,5.6200080976329225,6.76982094881993,6.102816374208455,0.4233705543648876,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,100,2,sd,5.523553991334819,6.748705074809135,6.136129533071977,0.312544284777208,7.3379502980550635,1.6802805611222444
