rep,method,n,s,o,d,pct_covered,pct_width,sd_covered,sd_width,expected,thetahat,runtime
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,1,1,0.003589685394886157,1,0.0037221097734386225,0.008000000000000002,0.008026510853031363,0.6060000000000008
1,ASEpar,500,0,0,1,1,0.003618529276515148,1,0.0037518509347469926,0.008000000000000002,0.008026510853031363,0.7910000000000004
1,ASEWeighted,500,0,0,1,0,0.34237967483468923,0,0.3960756514912829,0.008000000000000002,0.008026510853031363,1.0259999999999998
1,ASEnonpar,500,0,0,1,1,0.004067055798343676,1,0.0041050853755038854,0.008000000000000002,0.008026510853031363,0.6890000000000001
1,SONNETpar,500,2,0,1,1,0.003754609275173163,1,0.003924703286234416,0.008000000000000002,0.008026510853031363,0.27300000000000146
1,SONNETWeighted,500,2,0,1,0,0.1880782863834145,0,0.2048066497499409,0.008000000000000002,0.008026510853031363,0.44099999999999895
1,SONNETnonpar,500,2,0,1,1,0.0033128546443839868,1,0.003804109357729346,0.008000000000000002,0.008026510853031363,0.8409999999999993
1,SONNETpar,500,2,50,1,1,0.003989865564781099,1,0.004217505616673779,0.008000000000000002,0.008026510853031363,0.2240000000000002
1,SONNETWeighted,500,2,50,1,0,0.21227359137824853,0,0.21317681122304277,0.008000000000000002,0.008026510853031363,0.5279999999999987
1,SONNETnonpar,500,2,50,1,1,0.0034183663052276174,1,0.00380941756354046,0.008000000000000002,0.008026510853031363,0.7859999999999996
1,SONNETpar,500,2,100,1,1,0.0034778140949593035,1,0.003731151071841872,0.008000000000000002,0.008026510853031363,0.2400000000000002
1,SONNETWeighted,500,2,100,1,0,0.28105730787494054,0,0.27545624673475944,0.008000000000000002,0.008026510853031363,0.5240000000000009
1,SONNETnonpar,500,2,100,1,1,0.004234425153195207,1,0.004270068723444827,0.008000000000000002,0.008026510853031363,0.9899999999999984
1,SONNETpar,500,2,250,1,1,0.004090606573053267,1,0.004654975948384165,0.008000000000000002,0.008026510853031363,0.33999999999999986
1,SONNETWeighted,500,2,250,1,0,0.34263382729014835,0,0.3631246631518481,0.008000000000000002,0.008026510853031363,0.8649999999999984
1,SONNETnonpar,500,2,250,1,1,0.00382048142678958,1,0.004191047163174127,0.008000000000000002,0.008026510853031363,0.791999999999998
1,SONNETpar,500,5,0,1,1,0.003977149297791768,1,0.003965793558178842,0.008000000000000002,0.008026510853031363,0.16799999999999926
1,SONNETWeighted,500,5,0,1,0,0.07900450029010753,0,0.07805978849417228,0.008000000000000002,0.008026510853031363,0.28000000000000114
1,SONNETnonpar,500,5,0,1,1,0.0034888991960420526,1,0.003927777991466836,0.008000000000000002,0.008026510853031363,0.4170000000000016
1,SONNETpar,500,5,50,1,1,0.005128855457933876,1,0.0049867005021254525,0.008000000000000002,0.008026510853031363,0.19000000000000128
1,SONNETWeighted,500,5,50,1,0,0.20538427396759312,0,0.21697488065223886,0.008000000000000002,0.008026510853031363,0.4009999999999998
1,SONNETnonpar,500,5,50,1,1,0.004963380848116534,1,0.0050625640762024735,0.008000000000000002,0.008026510853031363,0.7099999999999973
1,SONNETpar,500,5,100,1,1,0.004701313854445409,1,0.0048113975415164725,0.008000000000000002,0.008026510853031363,0.22100000000000009
1,SONNETWeighted,500,5,100,1,0,0.35477183627766473,0,0.3314314708559343,0.008000000000000002,0.008026510853031363,0.4869999999999983
1,SONNETnonpar,500,5,100,1,1,0.004869227711171091,1,0.004764675940687368,0.008000000000000002,0.008026510853031363,0.6939999999999991
1,SONNETpar,500,5,250,1,1,0.004048274060636635,1,0.00407208827201834,0.008000000000000002,0.008026510853031363,0.3490000000000002
1,SONNETWeighted,500,5,250,1,0,0.3499679468406103,0,0.36923174779026935,0.008000000000000002,0.008026510853031363,1.3279999999999994
1,SONNETnonpar,500,5,250,1,1,0.00401640030526812,1,0.004751325668554168,0.008000000000000002,0.008026510853031363,1.4979999999999976
1,SONNETpar,500,10,0,1,1,0.00327085073109402,1,0.003741840938209718,0.008000000000000002,0.008026510853031363,0.15399999999999991
1,SONNETWeighted,500,10,0,1,0,0.04195591993823139,0,0.04212992510050467,0.008000000000000002,0.008026510853031363,0.26899999999999835
1,SONNETnonpar,500,10,0,1,1,0.004409693877551017,1,0.00464101634251049,0.008000000000000002,0.008026510853031363,0.48100000000000165
1,SONNETpar,500,10,50,1,1,0.007217620242657187,1,0.0070465999868691565,0.008000000000000002,0.008026510853031363,0.18599999999999994
1,SONNETWeighted,500,10,50,1,0,0.19665363515587242,0,0.21928099066247697,0.008000000000000002,0.008026510853031363,0.39000000000000057
1,SONNETnonpar,500,10,50,1,1,0.006178683668677529,1,0.006169782402671405,0.008000000000000002,0.008026510853031363,0.6839999999999975
1,SONNETpar,500,10,100,1,1,0.00629755007457568,1,0.006196712116013779,0.008000000000000002,0.008026510853031363,0.20300000000000296
1,SONNETWeighted,500,10,100,1,0,0.3124373726634334,0,0.33923668355322656,0.008000000000000002,0.008026510853031363,0.5279999999999987
1,SONNETnonpar,500,10,100,1,1,0.005435184771437505,1,0.005984287709943557,0.008000000000000002,0.008026510853031363,0.8930000000000007
1,SONNETpar,500,10,250,1,1,0.004674693677011448,1,0.005059544012079656,0.008000000000000002,0.008026510853031363,0.41899999999999693
1,SONNETWeighted,500,10,250,1,0,0.4399999551007394,0,0.4663514194421331,0.008000000000000002,0.008026510853031363,2.2319999999999993
1,SONNETnonpar,500,10,250,1,1,0.0051092870633016605,1,0.00502987681199071,0.008000000000000002,0.008026510853031363,2.683
1,NSBoot,1000,0,0,1,1,0.002330908212822039,1,0.0025358349857015844,0.008000000000000002,0.008651218352621158,2.7280000000000015
1,ASEpar,1000,0,0,1,1,0.002647091158849802,1,0.002715043271698656,0.008000000000000002,0.008651218352621158,4.0859999999999985
1,ASEWeighted,1000,0,0,1,0,0.4382924242515118,0,0.5471080841869984,0.008000000000000002,0.008651218352621158,11.822000000000003
1,ASEnonpar,1000,0,0,1,1,0.0028136835232025585,1,0.0026256338961304394,0.008000000000000002,0.008651218352621158,3.152000000000001
1,SONNETpar,1000,2,0,1,1,0.0030340897240763876,1,0.0030758267828629587,0.008000000000000002,0.008651218352621158,0.6809999999999974
1,SONNETWeighted,1000,2,0,1,0,0.28594744574716735,0,0.317619895294845,0.008000000000000002,0.008651218352621158,1.8290000000000077
1,SONNETnonpar,1000,2,0,1,1,0.0029094779921288345,1,0.0032851102715899007,0.008000000000000002,0.008651218352621158,1.490000000000009
1,SONNETpar,1000,2,100,1,1,0.0024023257308034597,1,0.0026388881449435873,0.008000000000000002,0.008651218352621158,0.8449999999999989
1,SONNETWeighted,1000,2,100,1,0,0.33162375323493887,0,0.3552877562376846,0.008000000000000002,0.008651218352621158,3.4710000000000036
1,SONNETnonpar,1000,2,100,1,1,0.0027067623404077876,1,0.0031573529373098074,0.008000000000000002,0.008651218352621158,1.5289999999999964
1,SONNETpar,1000,2,200,1,1,0.003116457261428815,1,0.0031328023028279776,0.008000000000000002,0.008651218352621158,1.1569999999999965
1,SONNETWeighted,1000,2,200,1,0,0.4213521027920284,0,0.43047103786702223,0.008000000000000002,0.008651218352621158,3.902000000000001
1,SONNETnonpar,1000,2,200,1,1,0.0031815892289825277,1,0.0033741907267827304,0.008000000000000002,0.008651218352621158,2.097999999999999
1,SONNETpar,1000,2,500,1,1,0.0032146764027496163,1,0.003201091103785059,0.008000000000000002,0.008651218352621158,2.7690000000000055
1,SONNETWeighted,1000,2,500,1,0,0.5014927020475386,0,0.5059344730303437,0.008000000000000002,0.008651218352621158,7.497
1,SONNETnonpar,1000,2,500,1,1,0.003043597345480248,1,0.003191644975906738,0.008000000000000002,0.008651218352621158,3.1480000000000103
1,SONNETpar,1000,5,0,1,1,0.0027768947506395126,1,0.0029225065790383226,0.008000000000000002,0.008651218352621158,0.2530000000000001
1,SONNETWeighted,1000,5,0,1,0,0.11105383695738391,0,0.11074034459552218,0.008000000000000002,0.008651218352621158,0.5510000000000019
1,SONNETnonpar,1000,5,0,1,1,0.002989607126541798,1,0.0029752679664058063,0.008000000000000002,0.008651218352621158,0.7870000000000061
1,SONNETpar,1000,5,100,1,1,0.003614812959944584,1,0.0036809409765775026,0.008000000000000002,0.008651218352621158,0.38400000000000034
1,SONNETWeighted,1000,5,100,1,0,0.3790792369197331,0,0.3955608510075317,0.008000000000000002,0.008651218352621158,0.9429999999999978
1,SONNETnonpar,1000,5,100,1,1,0.0035818704483417856,1,0.003690298679101686,0.008000000000000002,0.008651218352621158,1.3649999999999949
1,SONNETpar,1000,5,200,1,1,0.0033117024198669968,1,0.003642634827192022,0.008000000000000002,0.008651218352621158,0.5700000000000074
1,SONNETWeighted,1000,5,200,1,0,0.4794454700056481,0,0.46554105930083356,0.008000000000000002,0.008651218352621158,2.372
1,SONNETnonpar,1000,5,200,1,1,0.004104715535083488,1,0.004084149479449253,0.008000000000000002,0.008651218352621158,2.3970000000000056
1,SONNETpar,1000,5,500,1,1,0.0032685169654025183,1,0.0037229551712145703,0.008000000000000002,0.008651218352621158,2.581000000000003
1,SONNETWeighted,1000,5,500,1,0,0.525521221113936,0,0.530135709368527,0.008000000000000002,0.008651218352621158,9.661000000000001
1,SONNETnonpar,1000,5,500,1,1,0.004004263097358473,1,0.004051029217004464,0.008000000000000002,0.008651218352621158,4.542999999999992
1,SONNETpar,1000,10,0,1,1,0.002697739747847523,1,0.0026620585375587346,0.008000000000000002,0.008651218352621158,0.2259999999999991
1,SONNETWeighted,1000,10,0,1,0,0.05493593677251857,0,0.0562681648692569,0.008000000000000002,0.008651218352621158,0.3689999999999998
1,SONNETnonpar,1000,10,0,1,1,0.002801329622758193,1,0.0027356089719150004,0.008000000000000002,0.008651218352621158,0.8329999999999984
1,SONNETpar,1000,10,100,1,1,0.005006371733147837,1,0.00522888863273441,0.008000000000000002,0.008651218352621158,0.34900000000001796
1,SONNETWeighted,1000,10,100,1,0,0.45729086671885244,0,0.4319952078113827,0.008000000000000002,0.008651218352621158,0.7620000000000005
1,SONNETnonpar,1000,10,100,1,1,0.004595071455233829,1,0.004747835346116065,0.008000000000000002,0.008651218352621158,1.3380000000000223
1,SONNETpar,1000,10,200,1,1,0.004598556714468006,1,0.004810119404385017,0.008000000000000002,0.008651218352621158,0.4819999999999993
1,SONNETWeighted,1000,10,200,1,0,0.5545694973007833,0,0.5834167346583663,0.008000000000000002,0.008651218352621158,1.693000000000012
