rep,method,n,s,o,d,type,lower,upper,avg,sd,expected,thetahat
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,2,pct,0.30554809619238477,0.34097775551102205,0.3231623246492986,0.015979959919839692,0.32000000000000006,0.324
1,NSBoot,500,0,0,2,sd,0.3025649580975217,0.3426783284756246,0.32262164328657317,0.010233190684755441,0.32000000000000006,0.324
1,ASEpar,500,0,0,2,pct,0.30593114736923405,0.34782059080886907,0.3231726094283711,0.013020164491009678,0.32000000000000006,0.324
1,ASEpar,500,0,0,2,sd,0.30387058793556243,0.345120178217996,0.3244953830767792,0.010523048027363032,0.32000000000000006,0.324
1,ASEWeighted,500,0,0,2,pct,0.3084341631573369,0.3453697570176222,0.324473294061517,0.013793440872819751,0.32000000000000006,0.324
1,ASEWeighted,500,0,0,2,sd,0.3057383833755897,0.34547431620762215,0.3256063497916059,0.010136903827178563,0.32000000000000006,0.324
1,ASEnonpar,500,0,0,2,pct,0.3050633266533066,0.34025290581162326,0.32127054108216435,0.01249298597194387,0.32000000000000006,0.324
1,ASEnonpar,500,0,0,2,sd,0.30262154114847495,0.34160386967316836,0.32211270541082165,0.009944654297778176,0.32000000000000006,0.324
1,SONNETpar,500,2,0,2,pct,0.30573486324727683,0.3424710507488248,0.32331226700343335,0.014764849503563104,0.32000000000000006,0.324
1,SONNETpar,500,2,0,2,sd,0.3036946669010549,0.3426562152394395,0.3231754410702472,0.009939353132432107,0.32000000000000006,0.324
1,SONNETWeighted,500,2,0,2,pct,0.3032845894619235,0.3403812640614081,0.323041340390267,0.01624958391682879,0.32000000000000006,0.324
1,SONNETWeighted,500,2,0,2,sd,0.3014448486142938,0.3439538752590607,0.32269936193667725,0.010844338717464354,0.32000000000000006,0.324
1,SONNETnonpar,500,2,0,2,pct,0.30529759036144577,0.34706867469879515,0.32489156626506027,0.014755020080321313,0.32000000000000006,0.324
1,SONNETnonpar,500,2,0,2,sd,0.30442915008187116,0.34613984590206454,0.32528449799196785,0.010640679152576792,0.32000000000000006,0.324
1,SONNETpar,500,2,50,2,pct,0.30608390170565847,0.34310040262720515,0.3232609366886282,0.013740538856566453,0.32000000000000006,0.324
1,SONNETpar,500,2,50,2,sd,0.30274625955411016,0.3431934952612229,0.32296987740766653,0.010318361976586135,0.32000000000000006,0.324
1,SONNETWeighted,500,2,50,2,pct,0.3048868032062151,0.338591569038803,0.322599164349692,0.014675535789549554,0.32000000000000006,0.324
1,SONNETWeighted,500,2,50,2,sd,0.30391594395838945,0.3404174198698951,0.32216668191414227,0.009311772103830648,0.32000000000000006,0.324
1,SONNETnonpar,500,2,50,2,pct,0.2997372262773722,0.34383377571333773,0.3229528865295289,0.014571997345720011,0.32000000000000006,0.324
1,SONNETnonpar,500,2,50,2,sd,0.2994369510249313,0.34576411068707935,0.3226005308560053,0.011818370140362489,0.32000000000000006,0.324
1,SONNETpar,500,2,100,2,pct,0.30204666536059377,0.3441549807687915,0.3210873878316918,0.015610099341060057,0.32000000000000006,0.324
1,SONNETpar,500,2,100,2,sd,0.3000569829230242,0.34456677462021124,0.3223118787716177,0.01135474734440903,0.32000000000000006,0.324
1,SONNETWeighted,500,2,100,2,pct,0.3032755402202403,0.3409581782214459,0.3213032913909477,0.013019438585185228,0.32000000000000006,0.324
1,SONNETWeighted,500,2,100,2,sd,0.3032004524915733,0.3420750672268142,0.32263775985919374,0.009917175785340689,0.32000000000000006,0.324
1,SONNETnonpar,500,2,100,2,pct,0.29899080267558525,0.34468896321070236,0.3244983277591973,0.01692586399108137,0.32000000000000006,0.324
1,SONNETnonpar,500,2,100,2,sd,0.2996442604972865,0.3453802657011527,0.3225122630992196,0.011667562660494273,0.32000000000000006,0.324
1,SONNETpar,500,2,250,2,pct,0.3062543896680057,0.3446225926094777,0.324737938956536,0.011992597506716496,0.32000000000000006,0.324
1,SONNETpar,500,2,250,2,sd,0.30490907645550774,0.3443762125572241,0.32464264450636593,0.010068331972686258,0.32000000000000006,0.324
1,SONNETWeighted,500,2,250,2,pct,0.3085471344170402,0.3477121348125988,0.3240251794350262,0.01264272663411814,0.32000000000000006,0.324
1,SONNETWeighted,500,2,250,2,sd,0.30392564334563044,0.344087940934779,0.3240067921402047,0.010245672345498112,0.32000000000000006,0.324
1,SONNETnonpar,500,2,250,2,pct,0.30658110516934045,0.3429860962566844,0.3244598930481284,0.011859180035650563,0.32000000000000006,0.324
1,SONNETnonpar,500,2,250,2,sd,0.3057466947356563,0.3421516296850211,0.3239491622103387,0.009287143854816273,0.32000000000000006,0.324
1,SONNETpar,500,5,0,2,pct,0.3033216340319035,0.34261547043856744,0.32164896300391754,0.01358554352732444,0.32000000000000006,0.324
1,SONNETpar,500,5,0,2,sd,0.3021106058597569,0.342682996974337,0.32239680141704696,0.010350289963134515,0.32000000000000006,0.324
1,SONNETWeighted,500,5,0,2,pct,0.3055618272695946,0.3416815650435623,0.32344696630521863,0.01401943032910441,0.32000000000000006,0.324
1,SONNETWeighted,500,5,0,2,sd,0.3035931982677945,0.34424938848643893,0.3239212933771167,0.01037166767842044,0.32000000000000006,0.324
1,SONNETnonpar,500,5,0,2,pct,0.30627373737373736,0.34244444444444444,0.32420202020202016,0.013252525252525238,0.32000000000000006,0.324
1,SONNETnonpar,500,5,0,2,sd,0.30413744793760894,0.3423393197391587,0.3232383838383838,0.009745554536430586,0.32000000000000006,0.324
1,SONNETpar,500,5,50,2,pct,0.29889347669536126,0.34654575774535956,0.3205000047655593,0.021136943709568923,0.32000000000000006,0.324
1,SONNETpar,500,5,50,2,sd,0.29511374146534175,0.3481059001826119,0.3216098208239768,0.013518656244519167,0.32000000000000006,0.324
1,SONNETWeighted,500,5,50,2,pct,0.3022499994021725,0.34628181140361614,0.3230132024751369,0.014790776567664365,0.32000000000000006,0.324
1,SONNETWeighted,500,5,50,2,sd,0.3008339602552136,0.3462532276396104,0.323543593947412,0.011586760711589136,0.32000000000000006,0.324
1,SONNETnonpar,500,5,50,2,pct,0.295344295991778,0.35491726618705033,0.3249743062692703,0.019907502569373015,0.32000000000000006,0.324
1,SONNETnonpar,500,5,50,2,sd,0.2946352311365071,0.3523505859241301,0.3234929085303186,0.014723575341913002,0.32000000000000006,0.324
1,SONNETpar,500,5,100,2,pct,0.30132735278473516,0.3497799673549602,0.3248127426787003,0.016592494781820788,0.32000000000000006,0.324
1,SONNETpar,500,5,100,2,sd,0.3014042627198022,0.3505869273631315,0.32599559504146686,0.012546828674219506,0.32000000000000006,0.324
1,SONNETWeighted,500,5,100,2,pct,0.30061934595946577,0.3445846205656205,0.3242240371805613,0.01705057286498901,0.32000000000000006,0.324
1,SONNETWeighted,500,5,100,2,sd,0.2995307735433742,0.34838434659117257,0.3239575600672734,0.012462875193919162,0.32000000000000006,0.324
1,SONNETnonpar,500,5,100,2,pct,0.30145810055865924,0.3431939788950962,0.32597765363128495,0.01950341402855371,0.32000000000000006,0.324
1,SONNETnonpar,500,5,100,2,sd,0.2979916005279078,0.3484215590003355,0.32320657976412165,0.012865021722392036,0.32000000000000006,0.324
1,SONNETpar,500,5,250,2,pct,0.3008655750681673,0.3461147816200883,0.3223185151633794,0.016277593909281796,0.32000000000000006,0.324
1,SONNETpar,500,5,250,2,sd,0.29908838410896027,0.34751543503092314,0.3233019095699417,0.012354066529780472,0.32000000000000006,0.324
1,SONNETWeighted,500,5,250,2,pct,0.3078858663560251,0.34215443595688105,0.32302979780531815,0.012241896617544268,0.32000000000000006,0.324
1,SONNETWeighted,500,5,250,2,sd,0.3062703168486407,0.34178536732889475,0.3240278420887677,0.009060128339191993,0.32000000000000006,0.324
1,SONNETnonpar,500,5,250,2,pct,0.3016250836120401,0.34954303232998885,0.32282051282051283,0.015447045707915275,0.32000000000000006,0.324
1,SONNETnonpar,500,5,250,2,sd,0.3008854410803618,0.346420066166015,0.3236527536231884,0.011616189237359595,0.32000000000000006,0.324
1,SONNETpar,500,10,0,2,pct,0.3080109398091059,0.3445927773212608,0.32422431724668116,0.014604603805655536,0.32000000000000006,0.324
1,SONNETpar,500,10,0,2,sd,0.30496763248998243,0.3438648453722167,0.32441623893109955,0.009922940724689452,0.32000000000000006,0.324
1,SONNETWeighted,500,10,0,2,pct,0.3029468823570431,0.34326517263792666,0.3234523741131319,0.015987444270815387,0.32000000000000006,0.324
1,SONNETWeighted,500,10,0,2,sd,0.30261786523511885,0.34597922095481165,0.32429854309496525,0.011061773599342037,0.32000000000000006,0.324
1,SONNETnonpar,500,10,0,2,pct,0.30280816326530613,0.34265510204081634,0.32351020408163267,0.015653061224489784,0.32000000000000006,0.324
1,SONNETnonpar,500,10,0,2,sd,0.3012715262579868,0.34513173904813566,0.32320163265306123,0.01118903539455638,0.32000000000000006,0.324
1,SONNETpar,500,10,50,2,pct,0.2834733370870771,0.3507553744058361,0.3224434075027743,0.02343808750059423,0.32000000000000006,0.324
1,SONNETpar,500,10,50,2,sd,0.2876165510845572,0.35584532806329994,0.32173093957392856,0.017405620082032783,0.32000000000000006,0.324
1,SONNETWeighted,500,10,50,2,pct,0.2900272331768242,0.358053519589711,0.322418607173491,0.018992203222316928,0.32000000000000006,0.324
1,SONNETWeighted,500,10,50,2,sd,0.2911199722834339,0.3542178123025611,0.3226688922929975,0.016096683540318825,0.32000000000000006,0.324
1,SONNETnonpar,500,10,50,2,pct,0.28113829787234046,0.35549048152295637,0.3235498320268757,0.024216125419932844,0.32000000000000006,0.324
1,SONNETnonpar,500,10,50,2,sd,0.2848218613508138,0.358930434281885,0.3218761478163494,0.018905595591457332,0.32000000000000006,0.324
1,SONNETpar,500,10,100,2,pct,0.30093854548973253,0.3502551015191646,0.3217161097760459,0.020530171008596387,0.32000000000000006,0.324
1,SONNETpar,500,10,100,2,sd,0.2959428204885896,0.3524907221909315,0.32421677133976057,0.014425750204693699,0.32000000000000006,0.324
1,SONNETWeighted,500,10,100,2,pct,0.300496167121282,0.3563146587049882,0.32320350236454287,0.024063846517553555,0.32000000000000006,0.324
1,SONNETWeighted,500,10,100,2,sd,0.2916968062438271,0.35538445661574225,0.3235406314297847,0.016247148129831787,0.32000000000000006,0.324
1,SONNETnonpar,500,10,100,2,pct,0.2946610996916752,0.35575565262076053,0.32162384378211717,0.023250256937307312,0.32000000000000006,0.324
1,SONNETnonpar,500,10,100,2,sd,0.2907918980461118,0.35638405262192524,0.3235879753340185,0.016732999966631038,0.32000000000000006,0.324
1,SONNETpar,500,10,250,2,pct,0.30105227033870197,0.3503290809593981,0.3215214348713305,0.014189779809864689,0.32000000000000006,0.324
1,SONNETpar,500,10,250,2,sd,0.2972807795368909,0.34664180997505156,0.32196129475597124,0.012592330988608519,0.32000000000000006,0.324
1,SONNETWeighted,500,10,250,2,pct,0.3071102453067195,0.33694990229332844,0.32407690953229584,0.011959783079654285,0.32000000000000006,0.324
1,SONNETWeighted,500,10,250,2,sd,0.3074354616153654,0.34001707463464514,0.32372626812500527,0.008311788705374034,0.32000000000000006,0.324
1,SONNETnonpar,500,10,250,2,pct,0.30120809555408096,0.34378891838088915,0.3233735899137359,0.015108825481088217,0.32000000000000006,0.324
